Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.2-192.168.0.10-21-53114-6,192.168.0.10,53114,192.168.0.2,21,6,25/04/2025 08:11:59 PM,60224,2,1,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,182.65143464399574,49.81402763018066,30112.0,42457.51956956506,60134.0,90.0,90.0,90.0,0.0,90.0,90.0,0,0,0,0,0,0,0,0,0,64,32,33.209351753453774,16.604675876726887,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,0.0,3.6666666666666665,5.5,0.0,0,0,0,0,0,0,2,11,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53094-6,192.168.0.10,53094,192.168.0.2,21,6,25/04/2025 08:11:59 PM,102323,3,1,11.0,0.0,11.0,0.0,3.666666666666667,6.350852961085883,0.0,0.0,0.0,0.0,107.50271200023455,39.091895272812565,34107.66666666667,30825.84377325839,60167.0,80.0,60247.0,30123.5,42487.92516115608,60167.0,80.0,0,0,0,0,0,0,0,0,0,96,32,29.318921454609423,9.772973818203141,0.0,11.0,2.2,4.919349550499537,24.2,0,0,0,0,1,0,0,0,0.0,2.75,3.6666666666666665,0.0,0,0,0,0,0,0,3,11,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53146-6,192.168.0.10,53146,192.168.0.2,21,6,25/04/2025 08:11:50 PM,9419068,14,16,73.0,188.0,14.0,0.0,5.2142857142857135,6.302363066325219,34.0,0.0,11.75,14.401388821915754,27.709747928351298,3.1850284975116434,324795.4482758621,863607.5761653465,2960855.0,34.0,9417678.0,724436.7692307692,1219052.5783361543,2995982.0,892.0,9419068.0,627937.8666666667,1135604.540603743,2960855.0,234.0,0,0,0,0,448,528,1.4863466321721004,1.6986818653395432,0.0,34.0,8.419354838709674,11.575186660981288,133.98494623655913,0,1,0,0,0,0,0,0,1.0,8.7,5.214285714285714,11.75,0,0,0,0,0,0,14,73,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53146-6,192.168.0.10,53146,192.168.0.2,21,6,25/04/2025 08:12:00 PM,58725,2,1,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,187.31375053214134,51.08556832694764,29362.5,41401.809145253545,58638.0,87.0,87.0,87.0,0.0,87.0,87.0,0,0,0,0,0,0,0,0,0,64,32,34.05704555129842,17.02852277564921,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,0.0,3.6666666666666665,5.5,0.0,0,0,0,0,0,0,2,11,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53158-6,192.168.0.10,53158,192.168.0.2,21,6,25/04/2025 08:11:50 PM,9369554,14,16,77.0,188.0,17.0,0.0,5.5,6.756762993760115,34.0,0.0,11.75,14.401388821915754,28.283096505980964,3.2018599818091658,323088.0689655173,858837.1881182026,3090338.0,13.0,9368204.0,720631.076923077,1213902.8693141297,3135942.0,1797.0,9369554.0,624636.9333333333,1129356.0187633145,3090338.0,227.0,0,0,0,0,448,528,1.4942013248442774,1.7076586569648884,0.0,34.0,8.548387096774192,11.650003461165205,135.72258064516126,0,1,0,0,0,0,0,0,1.0,8.833333333333334,5.5,11.75,0,0,0,0,0,0,14,77,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53160-6,192.168.0.10,53160,192.168.0.2,21,6,25/04/2025 08:11:50 PM,9369282,13,16,78.0,188.0,17.0,0.0,6.000000000000001,6.928203230275509,34.0,0.0,11.75,14.401388821915754,28.39064935818988,3.0952211706297237,334617.2142857143,872269.5922926563,3090603.0,2.0,6231238.0,519269.83333333343,1016787.1369980528,2727845.0,1489.0,9369282.0,624618.7999999999,1129320.7822289972,3090603.0,2.0,0,0,0,0,416,528,1.387512938558152,1.7077082320715717,0.0,34.0,8.866666666666667,11.752426993174007,138.11954022988505,0,1,0,0,0,0,0,0,1.0,9.172413793103448,6.0,11.75,0,0,0,0,0,0,13,78,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53122-6,192.168.0.10,53122,192.168.0.2,21,6,25/04/2025 08:11:50 PM,10120165,14,16,74.0,188.0,14.0,0.0,5.285714285714286,6.402266082334519,34.0,0.0,11.75,14.401388821915754,25.888905961513473,2.9643785452114666,348971.2068965517,932594.175564376,3129139.0,13.0,1.0117864E7,778297.2307692308,1318035.8177391056,3174106.0,1531.0,1.0120165E7,674677.6666666666,1227232.4557553218,3129139.0,477.0,0,0,0,0,448,528,1.3833766544320176,1.5810018907794487,0.0,34.0,8.451612903225804,11.589761889062315,134.32258064516128,0,1,0,0,0,0,0,0,1.0,8.733333333333333,5.285714285714286,11.75,0,0,0,0,0,0,14,74,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53158-6,192.168.0.10,53158,192.168.0.2,21,6,25/04/2025 08:12:00 PM,58918,2,1,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,186.7001595437727,50.91822533011983,29459.0,41545.35182183441,58836.0,82.0,82.0,82.0,0.0,82.0,82.0,0,0,0,0,0,0,0,0,0,64,32,33.94548355341322,16.97274177670661,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,0.0,3.6666666666666665,5.5,0.0,0,0,0,0,0,0,2,11,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53166-6,192.168.0.10,53166,192.168.0.2,21,6,25/04/2025 08:11:51 PM,9370490,14,16,74.0,188.0,14.0,0.0,5.285714285714286,6.402266082334519,34.0,0.0,11.75,14.401388821915754,27.96011734711845,3.2015401542502047,323120.3448275862,859893.3635747381,3090263.0,15.0,9369124.0,720701.8461538462,1214897.5943568829,3137285.0,836.0,9370490.0,624699.3333333333,1130891.6247436083,3090263.0,164.0,0,0,0,0,448,528,1.4940520719834287,1.7074880822667757,0.0,34.0,8.451612903225804,11.589761889062315,134.32258064516128,0,1,0,0,0,0,0,0,1.0,8.733333333333333,5.285714285714286,11.75,0,0,0,0,0,0,14,74,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53160-6,192.168.0.10,53160,192.168.0.2,21,6,25/04/2025 08:12:00 PM,100980,3,1,11.0,0.0,11.0,0.0,3.666666666666667,6.350852961085883,0.0,0.0,0.0,0.0,108.93246187363835,39.61180431768667,33660.0,30284.142979453787,58876.0,70.0,58946.0,29473.0,41582.12137445612,58876.0,70.0,0,0,0,0,0,0,0,0,0,96,32,29.708853238265004,9.902951079421667,0.0,11.0,2.2,4.919349550499537,24.2,0,0,0,0,1,0,0,0,0.0,2.75,3.6666666666666665,0.0,0,0,0,0,0,0,3,11,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
